"cycle";"conveyorRuntime";"energyConsumption";"processTime";"amountCorn";"y";"repetitions";"energyConsumptionNorm";"processTimeNorm";"amountCornNorm";"conveyorRuntimeMean";"energyConsumptionMean";"processTimeMean";"amountCornMean";"energyConsumptionNormMean";"processTimeNormMean";"amountCornNormMean";"yAgg"
1;4133;1562368,084;87241;20;549876,361333333;3;0,979446662646127;0,898142807705618;0,032258064516129;4100,66666666667;1563609,33033333;88454,6666666667;21,3333333333333;0,981518512866959;0,933142999961549;0,0752688172043011;0,663310110010936
2;4035;1567954,62;90773;19;552915,54;3;0,988771536794354;1;0;4100,66666666667;1563609,33033333;88454,6666666667;21,3333333333333;0,981518512866959;0,933142999961549;0,0752688172043011;0,663310110010936
3;4134;1560505,287;87350;25;549293,429;3;0,976337339160394;0,901286192179029;0,193548387096774;4100,66666666667;1563609,33033333;88454,6666666667;21,3333333333333;0,981518512866959;0,933142999961549;0,0752688172043011;0,663310110010936
4;5143;1567785,111;85951;25;551253,703666667;3;0,988488597582651;0,860941285038643;0,193548387096774;5076,33333333333;1568418,13233333;88063;24,3333333333333;0,989545217331718;0,92184796400969;0,172043010752688;0,694478730698032
5;5046;1574681,597;89681;24;554795,532333333;3;1;0,968508478486561;0,161290322580645;5076,33333333333;1568418,13233333;88063;24,3333333333333;0,989545217331718;0,92184796400969;0,172043010752688;0,694478730698032
6;5040;1562787,689;88557;24;550456,229666667;3;0,980147054412504;0,936094128503864;0,161290322580645;5076,33333333333;1568418,13233333;88063;24,3333333333333;0,989545217331718;0,92184796400969;0,172043010752688;0,694478730698032
7;5447;1567764,916;88250;25;552013,305333333;3;0,988454888709492;0,927240742876918;0,193548387096774;5515;1438262,512;79684,6666666667;27,6666666666667;0,772293457154623;0,680230322605452;0,279569892473118;0,577364557411065
8;5548;1565527,123;86948;26;550833,707666667;3;0,984719633428798;0,889693159533972;0,225806451612903;5515;1438262,512;79684,6666666667;27,6666666666667;0,772293457154623;0,680230322605452;0,279569892473118;0,577364557411065
9;5550;1181495,497;63856;32;415127,832333333;3;0,34370584932558;0,223757065405468;0,419354838709677;5515;1438262,512;79684,6666666667;27,6666666666667;0,772293457154623;0,680230322605452;0,279569892473118;0,577364557411065
10;6053;1243366,384;67692;30;437029,461333333;3;0,446978831852526;0,334381128157804;0,354838709677419;6052,33333333333;1181458,4;64723,6666666667;30,6666666666667;0,343643928153627;0,248779174837544;0,376344086021505;0,322922396337559
11;6053;1116761,107;62033;31;392941,702333333;3;0,235653195621706;0,17118468104741;0,387096774193548;6052,33333333333;1181458,4;64723,6666666667;30,6666666666667;0,343643928153627;0,248779174837544;0,376344086021505;0,322922396337559
12;6051;1184247,709;64446;31;416241,569666667;3;0,348299756986649;0,240771715307417;0,387096774193548;6052,33333333333;1181458,4;64723,6666666667;30,6666666666667;0,343643928153627;0,248779174837544;0,376344086021505;0,322922396337559
13;6554;1066330,116;59711;32;375357,705333333;3;0,15147533580923;0,104221940246857;0,419354838709677;6589;1098473,09266667;61162,6666666667;31,3333333333333;0,205127404312154;0,146085669242896;0,397849462365591;0,249687511973547
14;6557;1075443,049;59926;31;378466,683;3;0,166686363420297;0,110422194024686;0,387096774193548;6589;1098473,09266667;61162,6666666667;31,3333333333333;0,205127404312154;0,146085669242896;0,397849462365591;0,249687511973547
15;6656;1153646,113;63851;31;405842,704333333;3;0,297220513706936;0,223612873457146;0,387096774193548;6589;1098473,09266667;61162,6666666667;31,3333333333333;0,205127404312154;0,146085669242896;0,397849462365591;0,249687511973547
16;7165;1128745,954;63879;30;397551,651333333;3;0,255657933792328;0,224420348367747;0,354838709677419;7131;1059642,37566667;60647;33,3333333333333;0,140312365241359;0,131214672972661;0,462365591397849;0,24463087653729
17;7163;1042216,465;60041;35;367430,821666667;3;0,111225570869156;0,113738608836083;0,516129032258065;7131;1059642,37566667;60647;33,3333333333333;0,140312365241359;0,131214672972661;0,462365591397849;0,24463087653729
18;7065;1007964,708;58021;35;355340,236;3;0,0540535910625921;0,0554850617141539;0,516129032258065;7131;1059642,37566667;60647;33,3333333333333;0,140312365241359;0,131214672972661;0,462365591397849;0,24463087653729
19;7567;1021267,072;58118;35;359806,690666667;3;0,0762574881061092;0,058282385511593;0,516129032258065;7565,66666666667;1002860,04333333;57307,6666666667;36,3333333333333;0,0455330417301317;0,0349136770869381;0,559139784946237;0,213195501254435
20;7466;975581,179;56097;39;343905,726333333;3;0;0;0,645161290322581;7565,66666666667;1002860,04333333;57307,6666666667;36,3333333333333;0,0455330417301317;0,0349136770869381;0,559139784946237;0,213195501254435
21;7664;1011731,879;57708;35;356491,626333333;3;0,0603416370842858;0,0464586457492214;0,516129032258065;7565,66666666667;1002860,04333333;57307,6666666667;36,3333333333333;0,0455330417301317;0,0349136770869381;0,559139784946237;0,213195501254435
22;8172;1122212,298;63742;36;395330,099333333;3;0,24475215605675;0,220469488983735;0,548387096774194;8069,66666666667;1054911,20633333;60477;38,3333333333333;0,132415242837192;0,126312146729727;0,623655913978495;0,294127767848471
23;8071;1018311,319;58694;40;359015,106333333;3;0,0713238360651586;0,074893297958242;0,67741935483871;8069,66666666667;1054911,20633333;60477;38,3333333333333;0,132415242837192;0,126312146729727;0,623655913978495;0,294127767848471
24;7966;1024210,002;58995;39;361081,334;3;0,0811697363896681;0,0835736532472027;0,645161290322581;8069,66666666667;1054911,20633333;60477;38,3333333333333;0,132415242837192;0,126312146729727;0,623655913978495;0,294127767848471
25;8576;1059333,003;61050;41;373474,667666667;3;0,139795969896986;0,142836544007383;0,709677419354839;8578;1029057,05966667;59841,3333333333;40,6666666666667;0,0892602960371606;0,107980543699773;0,698924731182796;0,298721856973243
26;8579;1015881,887;59442;41;358454,962333333;3;0,0672687028570893;0,0964644134271542;0,709677419354839;8578;1029057,05966667;59841,3333333333;40,6666666666667;0,0892602960371606;0,107980543699773;0,698924731182796;0,298721856973243
27;8579;1011956,289;59032;40;357009,429666667;3;0,060716215357406;0,0846406736647826;0,67741935483871;8578;1029057,05966667;59841,3333333333;40,6666666666667;0,0892602960371606;0,107980543699773;0,698924731182796;0,298721856973243
28;9082;1074299,811;61844;40;378727,937;3;0,164778105696464;0,165734225400854;0,67741935483871;9047;1028283,38633333;59930;44,6666666666667;0,0879689042936594;0,110537547583343;0,827956989247312;0,342154480374771
29;9078;1018526,121;59623;49;359399,373666667;3;0,0716823769600509;0,101684161956396;0,967741935483871;9047;1028283,38633333;59930;44,6666666666667;0,0879689042936594;0,110537547583343;0,827956989247312;0,342154480374771
30;8981;992024,227;58323;45;350130,742333333;3;0,0274462302244629;0,0641942553927789;0,838709677419355;9047;1028283,38633333;59930;44,6666666666667;0,0879689042936594;0,110537547583343;0,827956989247312;0,342154480374771
31;9486;1039522,537;60946;50;366839,512333333;3;0,106728949069102;0,139837351482293;1;9553;1028546,31233333;60610,3333333333;49;0,0884077722899091;0,130157265351636;0,967741935483871;0,395435657708472
32;9588;1011619,785;59838;50;357169,261666667;3;0,0601545332255135;0,107884415734225;1;9553;1028546,31233333;60610,3333333333;49;0,0884077722899091;0,130157265351636;0,967741935483871;0,395435657708472
33;9585;1034496,615;61047;47;365196,871666667;3;0,0983398345751112;0,14275002883839;0,903225806451613;9553;1028546,31233333;60610,3333333333;49;0,0884077722899091;0,130157265351636;0,967741935483871;0,395435657708472
34;10089;1118014,608;65360;50;394474,869333333;3;0,237745500955401;0,267130003460607;1;10088;1086497,72133333;63906;48,3333333333333;0,185138482633029;0,225198984888684;0,946236559139785;0,452191342220499
35;10087;1086946,276;63931;50;383642,425333333;3;0,185887196293026;0,225919944630292;1;10088;1086497,72133333;63906;48,3333333333333;0,185138482633029;0,225198984888684;0,946236559139785;0,452191342220499
36;10088;1054532,28;62427;45;372334,76;3;0,13178275065066;0,182547006575153;0,838709677419355;10088;1086497,72133333;63906;48,3333333333333;0,185138482633029;0,225198984888684;0,946236559139785;0,452191342220499
